totaldebt_invcap_sub_leverage_ratio,rect_turn_sub_asset_liabilities,leverage_ratio_sub_debt_ratio,asset_liabilities_sub_debt_ratio,capitalization_ratio_sub_debt_ratio2,totaldebt_invcap_sub_debt_ratio2,roe_sub_roa,asset_turnover_sub_roa,longtermdebt_invcap_sub_capitalization_ratio,label
-13.838000000000001,-0.891777181,16.308,0.11277718100000012,-0.013999999999999985,3.173,0.12000000000000001,0.064,0.0,0
-13.32,-0.8780217879999999,15.999000000000002,0.11302178799999996,-0.07699999999999999,3.3810000000000002,0.114,0.075,0.0,0
-12.770999999999999,-0.8509258290000001,15.794,0.11292582900000014,-0.151,3.7190000000000003,0.113,0.09,0.0,0
-12.456,-0.8280187480000001,15.030999999999999,0.12301874800000012,-0.182,3.302,0.08600000000000001,0.106,0.0,0
-12.484,-0.83113802,14.927,0.12013802000000007,-0.193,3.181,0.081,0.106,0.0,0
-12.547999999999998,-0.866485696,14.941999999999998,0.12248569600000014,-0.185,3.134,0.10099999999999999,0.083,0.0,0
-12.82,-0.8626847740000001,14.612,0.1206847740000001,-0.14300000000000002,2.563,0.111,0.09,0.0,0
-12.242,-0.8951676719999999,13.497,0.1291676719999999,-0.11599999999999999,2.044,0.109,0.08399999999999999,0.0,0
-12.39,-0.902352355,14.109,0.12635235500000008,-0.010999999999999982,2.451,0.159,0.07600000000000001,0.0,0
-22.919,-0.5453828129999999,23.853,0.08338281299999994,0.45799999999999996,1.635,-0.08299999999999999,0.167,0.0,0
-35.18,-0.733472967,36.801,0.052472966999999926,0.475,2.375,-0.351,0.099,0.0,0
-22.689,-0.4939089979999999,23.483,0.07990899799999995,0.4660000000000001,1.535,0.129,0.136,0.0,0
-13.469000000000001,-0.845509798,14.247,0.15050979799999997,0.5379999999999999,1.534,0.116,0.063,0.7050000000000001,0
-13.207,-0.933452461,13.968,0.11945246100000007,0.375,1.472,0.12000000000000001,0.048,0.11299999999999999,0
-13.501,-0.94775148,13.942,0.12775147999999992,0.403,1.1269999999999998,0.091,0.049,0.0,0
